city,number,lat,lon
North Carolina,112,35.67,-79.04
Tychy,112,50.13,18.99
Adelaide,111,-34.93,138.60
Asenovgrad,111,42.01,24.88
Bad Friedrichshall,111,49.23,9.21
Daun,111,50.20,6.83
Emmerich,111,51.83,6.24
Rheinsberg,111,53.10,12.89
Suruc,111,36.98,38.42
Trzebiatow,111,54.06,15.27
WarnemŸnde,111,54.18,12.08
Amarousio,110,39.78,-100.45
Bor,110,49.71,12.78
Czernowitz,110,48.29,25.94
Germersheim,110,49.22,8.37
Pegnitz,110,49.76,11.54
Samara,110,53.20,50.11
Trzcianka,110,53.04,16.46
Uccle,110,50.80,4.34
Belfast,109,54.60,-5.93
Bernkastel-Kues,109,49.92,7.07
BrŸnn,109,49.19,16.61
BrunsbŸttel,109,53.90,9.13
Burghausen,109,48.17,12.83
Feldberg,109,47.87,8.00
Grodno,109,53.68,23.83
Jugenheim,109,49.75,8.63
Kermanshah,109,34.32,47.07
Ondokuzmayis,109,41.49,36.08
Persembe,109,41.42,32.15
Schwientochlowitz,109,50.29,18.92
Suceava,109,47.53,25.82
Winniza,109,48.90,28.52
Bandirma,108,40.26,27.95
Bergamo,108,45.69,9.67
Bielitz,108,49.82,19.04
Bombay,108,18.95,72.83
Botosani,108,47.85,26.76
Dšbern,108,51.61,14.60
Kšnigstein im Taunus,108,50.18,8.47
Ro§wein,108,51.07,13.18
Seifhennersdorf,108,50.93,14.61
Valladolid,108,41.70,-4.70
Civril,107,38.96,34.51
Divrigi,107,39.37,38.04
Glindow,107,52.36,12.89
Hai Hung,107,38.14,117.49
Heppenheim,107,49.64,8.64
Raciborz,107,50.09,18.22
Teschen,107,49.75,18.63
Birkenfeld,106,49.65,7.16
Bobingen,106,48.27,10.83
Brzeg Dolny,106,51.27,16.72
Czluchow,106,53.67,17.36
Den Haag,106,52.07,4.27
Eggersdorf,106,52.47,14.11
Gracanica,106,44.70,18.31
Leicester,106,52.64,-1.13
Macka,106,40.81,39.61
Oran,106,35.70,-0.65
Th‡i Nguyn,106,21.59,105.84
Viernheim,106,49.54,8.58
Agadir,105,30.42,-9.58
Ahwaz,105,31.33,48.68
Bad Polzin,105,53.76,16.10
Ebersberg,105,48.08,11.96
Eindhoven,105,51.45,5.45
Gjakove,105,42.38,20.43
Grabow,105,53.28,11.56
Langensalza,105,51.11,10.65
Larisa,105,39.64,22.42
Leutkirch im AllgŠu,105,47.81,10.04
Pec,105,49.40,12.83
Sassari,105,40.72,8.56
SchlŸchtern,105,50.35,9.53
Schongau,105,47.81,10.90
St. Gallen,105,47.43,9.38
St. Ingbert,105,49.28,7.12
Tokat,105,40.33,36.38
Warnsdorf,105,50.91,14.62
Wschowa,105,51.80,16.32
Ashkhabad,104,37.94,58.39
Bad Schwartau,104,53.92,10.70
Chaiyaphum,104,15.96,101.88
Charkiw,104,49.99,36.23
Jessen (Elster),104,51.79,12.96
Jurmala,104,56.97,23.79
Nysa,104,50.47,17.33
Plau,104,50.78,10.90
Travnik,104,44.23,17.66
Vacha,104,50.83,10.02
Aleksinac,103,43.54,21.71
Angers,103,47.47,-0.55
Berlinchen,103,53.00,15.22
Diez,103,50.37,8.02
Eger,103,47.90,20.37
Faisalabad,103,31.42,73.09
GrŠfenthal,103,50.53,11.30
KlosterbrŸck/Oppeln,103,39.78,-100.45
Lšningen,103,52.74,7.76
Moldova,103,47.29,28.51
Niksar,103,40.56,36.87
Perth,103,-31.95,115.86
Strumica,103,41.44,22.64
Thuine,103,52.50,7.48
Uralsk,103,51.22,51.37
Afula,102,32.61,35.29
Bad Liebenstein,102,50.81,10.36
Colmar,102,48.08,7.36
Gostivar,102,41.79,20.91
Lviv,102,49.84,24.03
Managua,102,12.15,-86.27
Nossen,102,51.06,13.30
Rastenburg/Ostpreu§en,102,39.78,-100.45
Trostberg,102,48.03,12.56
Veliko Tarnovo,102,43.20,25.68
Wermsdorf,102,51.28,12.94
Bahrendorf,101,53.19,10.95
BŸdingen,101,50.29,9.14
EichstŠtt,101,48.89,11.19
Erbaa,101,40.72,36.60
Erlenbach a.Main,101,49.80,9.16
Gol§en,101,51.97,13.61
Homberg,101,47.76,7.51
Kilis,101,36.72,37.12
Kumanovo,101,42.14,21.72
Kyoto,101,35.02,135.76
Philadelphia,101,39.95,-75.16
Saitama,101,36.02,139.28
Sfax,101,34.74,10.76
Sške,101,37.68,27.45
Sprottau,101,51.56,15.54
